iter	Passed	Remaining
827	1238	257
828	1240	255
829	1241	254
830	1242	252
831	1244	251
832	1245	249
833	1246	248
834	1248	246
835	1249	245
836	1250	243
837	1251	242
838	1253	240
839	1254	238
840	1255	237
841	1256	235
842	1258	234
843	1259	232
844	1260	231
845	1261	229
846	1262	228
847	1264	226
848	1265	225
849	1267	223
850	1268	222
851	1269	220
852	1270	219
853	1272	217
854	1273	215
855	1274	214
856	1275	212
857	1276	211
858	1277	209
859	1279	208
860	1280	206
861	1281	205
862	1282	203
863	1284	202
864	1285	200
865	1286	199
866	1287	197
867	1288	195
868	1289	194
869	1290	192
870	1291	191
871	1292	189
872	1293	188
873	1295	186
874	1296	185
875	1297	183
876	1298	182
877	1299	180
878	1301	179
879	1302	177
880	1303	176
881	1304	174
882	1305	173
883	1306	171
884	1308	169
885	1309	168
886	1311	167
887	1312	165
888	1313	164
889	1315	162
890	1316	161
891	1317	159
892	1319	158
893	1320	156
894	1321	155
895	1323	153
896	1324	152
897	1326	150
898	1327	149
899	1328	147
900	1330	146
901	1331	144
902	1332	143
903	1334	141
904	1335	140
905	1339	138
906	1341	137
907	1343	136
908	1345	134
909	1346	133
910	1348	131
911	1349	130
912	1350	128
913	1351	127
914	1352	125
915	1354	124
916	1355	122
917	1356	121
918	1358	119
919	1359	118
920	1360	116
921	1361	115
922	1362	113
923	1363	112
924	1364	110
925	1366	109
926	1367	107
927	1368	106
928	1370	104
929	1371	103
930	1372	101
931	1373	100
932	1375	98
933	1376	97
934	1377	95
935	1378	94
936	1380	92
937	1381	91
938	1382	89
939	1384	88
940	1385	86
941	1386	85
942	1388	83
943	1389	82
944	1390	80
945	1391	79
946	1393	77
947	1394	76
948	1395	74
949	1396	73
950	1398	72
951	1399	70
952	1400	69
953	1402	67
954	1403	66
955	1404	64
956	1405	63
957	1406	61
958	1408	60
959	1409	58
960	1410	57
961	1412	55
962	1413	54
963	1414	52
964	1415	51
965	1416	49
966	1418	48
967	1419	46
968	1420	45
969	1421	43
970	1422	42
971	1423	41
972	1424	39
973	1426	38
974	1427	36
975	1428	35
976	1430	33
977	1431	32
978	1432	30
979	1433	29
980	1435	27
981	1436	26
982	1437	24
983	1438	23
984	1439	21
985	1440	20
986	1442	19
987	1444	17
988	1445	16
989	1446	14
990	1447	13
991	1449	11
992	1450	10
993	1451	8
994	1452	7
995	1453	5
996	1454	4
997	1456	2
998	1457	1
999	1459	0
